Rk,Squad,Competition,# of Players,Weekly Wages,Annual Wages,% Estimated,Season
72,Bordeaux,fr Ligue 1,91,"€ 439,538 (£ 368,557, $447,939)","€ 22,856,000 (£ 19,164,951, $23,292,819)",100%,2018-2019
73,Nantes,fr Ligue 1,97,"€ 438,635 (£ 367,799, $447,018)","€ 22,809,000 (£ 19,125,542, $23,244,917)",100%,2018-2019
74,Alavés,es La Liga,79,"€ 434,904 (£ 364,671, $443,216)","€ 22,615,000 (£ 18,962,866, $23,047,212)",100%,2018-2019
75,Frosinone,it Serie A,95,"€ 432,712 (£ 362,832, $440,981)","€ 22,501,000 (£ 18,867,279, $22,931,028)",100%,2018-2019
76,Mainz 05,de Bundesliga,96,"€ 412,394 (£ 345,796, $420,276)","€ 21,444,500 (£ 17,981,398, $21,854,342)",100%,2018-2019
77,Rayo Vallecano,es La Liga,85,"€ 399,712 (£ 335,161, $407,351)","€ 20,785,000 (£ 17,428,396, $21,182,237)",100%,2018-2019
78,Eibar,es La Liga,83,"€ 386,212 (£ 323,842, $393,593)","€ 20,083,000 (£ 16,839,763, $20,466,820)",100%,2018-2019
79,Empoli,it Serie A,109,"€ 378,000 (£ 316,956, $385,224)","€ 19,656,000 (£ 16,481,718, $20,031,658)",100%,2018-2019
80,Getafe,es La Liga,78,"€ 368,750 (£ 309,200, $375,797)","€ 19,175,000 (£ 16,078,399, $19,541,468)",100%,2018-2019
81,Girona,es La Liga,84,"€ 357,385 (£ 299,670, $364,215)","€ 18,584,000 (£ 15,582,841, $18,939,174)",100%,2018-2019
82,Toulouse,fr Ligue 1,97,"€ 354,346 (£ 297,122, $361,118)","€ 18,426,000 (£ 15,450,357, $18,778,150)",100%,2018-2019
83,Freiburg,de Bundesliga,89,"€ 327,779 (£ 274,845, $334,043)","€ 17,044,500 (£ 14,291,956, $17,370,250)",100%,2018-2019
84,Valladolid,es La Liga,94,"€ 316,346 (£ 265,259, $322,392)","€ 16,450,000 (£ 13,793,462, $16,764,389)",100%,2018-2019
85,Guingamp,fr Ligue 1,87,"€ 316,096 (£ 265,049, $322,137)","€ 16,437,000 (£ 13,782,565, $16,751,140)",100%,2018-2019
86,Angers,fr Ligue 1,91,"€ 299,846 (£ 251,424, $305,577)","€ 15,592,000 (£ 13,074,026, $15,889,986)",100%,2018-2019
87,Huesca,es La Liga,88,"€ 296,865 (£ 248,924, $302,539)","€ 15,437,000 (£ 12,944,051, $15,732,028)",100%,2018-2019
88,Düsseldorf,de Bundesliga,96,"€ 291,394 (£ 244,337, $296,963)","€ 15,152,500 (£ 12,705,498, $15,442,091)",100%,2018-2019
89,Strasbourg,fr Ligue 1,88,"€ 263,135 (£ 220,641, $268,164)","€ 13,683,000 (£ 11,473,310, $13,944,506)",100%,2018-2019
90,Montpellier,fr Ligue 1,81,"€ 254,442 (£ 213,352, $259,305)","€ 13,231,000 (£ 11,094,305, $13,483,867)",100%,2018-2019
91,Reims,fr Ligue 1,92,"€ 253,577 (£ 212,626, $258,423)","€ 13,186,000 (£ 11,056,572, $13,438,006)",100%,2018-2019
92,Caen,fr Ligue 1,91,"€ 238,923 (£ 200,339, $243,489)","€ 12,424,000 (£ 10,417,631, $12,661,444)",100%,2018-2019
93,Dijon,fr Ligue 1,84,"€ 237,885 (£ 199,468, $242,431)","€ 12,370,000 (£ 10,372,351, $12,606,411)",100%,2018-2019
94,Amiens,fr Ligue 1,87,"€ 217,981 (£ 182,779, $222,147)","€ 11,335,000 (£ 9,504,493, $11,551,631)",100%,2018-2019
95,Nürnberg,de Bundesliga,85,"€ 210,904 (£ 176,845, $214,935)","€ 10,967,000 (£ 9,195,924, $11,176,598)",100%,2018-2019
96,Nîmes,fr Ligue 1,84,"€ 171,269 (£ 143,611, $174,542)","€ 8,906,000 (£ 7,467,755, $9,076,207)",100%,2018-2019
1,Real Madrid,es La Liga,80,"€ 6,850,000 (£ 5,743,782, $6,980,915)","€ 356,200,000 (£ 298,676,682, $363,007,586)",46%,2019-2020
2,Barcelona,es La Liga,69,"€ 6,631,731 (£ 5,560,762, $6,758,474)","€ 344,850,000 (£ 289,159,607, $351,440,667)",41%,2019-2020
3,Juventus,it Serie A,77,"€ 4,914,231 (£ 4,120,624, $5,008,150)","€ 255,540,000 (£ 214,272,431, $260,423,805)",0%,2019-2020
4,Paris S-G,fr Ligue 1,85,"€ 4,640,192 (£ 3,890,840, $4,728,874)","€ 241,290,000 (£ 202,323,683, $245,901,458)",57%,2019-2020
5,Bayern Munich,de Bundesliga,76,"€ 4,117,692 (£ 3,452,719, $4,196,388)","€ 214,120,000 (£ 179,541,413, $218,212,198)",26%,2019-2020
6,Manchester Utd,eng Premier League,78,"€ 3,794,190 (£ 3,181,538, $3,866,273)","€ 197,297,905 (£ 165,440,000, $201,046,193)",33%,2019-2020
7,Manchester City,eng Premier League,71,"€ 3,416,927 (£ 2,865,192, $3,481,842)","€ 177,680,216 (£ 148,990,000, $181,055,805)",31%,2019-2020
8,Atlético Madrid,es La Liga,68,"€ 3,182,692 (£ 2,668,714, $3,243,519)","€ 165,500,000 (£ 138,773,134, $168,662,987)",56%,2019-2020
9,Chelsea,eng Premier League,79,"€ 2,744,046 (£ 2,300,962, $2,796,177)","€ 142,690,368 (£ 119,650,000, $145,401,216)",35%,2019-2020
10,Arsenal,eng Premier League,78,"€ 2,718,589 (£ 2,279,615, $2,770,237)","€ 141,366,618 (£ 118,540,000, $144,052,322)",32%,2019-2020
11,Liverpool,eng Premier League,70,"€ 2,634,421 (£ 2,209,038, $2,684,470)","€ 136,989,906 (£ 114,870,000, $139,592,457)",31%,2019-2020
12,Tottenham,eng Premier League,76,"€ 2,467,233 (£ 2,068,846, $2,514,106)","€ 128,296,109 (£ 107,580,000, $130,733,496)",34%,2019-2020
13,Inter,it Serie A,83,"€ 2,242,692 (£ 1,880,516, $2,285,554)","€ 116,620,000 (£ 97,786,851, $118,848,807)",0%,2019-2020
14,Roma,it Serie A,83,"€ 2,228,462 (£ 1,868,584, $2,271,051)","€ 115,880,000 (£ 97,166,353, $118,094,664)",0%,2019-2020
15,Dortmund,de Bundesliga,83,"€ 2,054,231 (£ 1,722,490, $2,093,491)","€ 106,820,000 (£ 89,569,463, $108,861,513)",42%,2019-2020
16,Milan,it Serie A,86,"€ 2,022,885 (£ 1,696,206, $2,061,545)","€ 105,190,000 (£ 88,202,695, $107,200,360)",0%,2019-2020
17,Everton,eng Premier League,76,"€ 2,016,581 (£ 1,690,962, $2,054,892)","€ 104,862,213 (£ 87,930,000, $106,854,401)",37%,2019-2020
18,Napoli,it Serie A,82,"€ 1,941,923 (£ 1,628,319, $1,979,037)","€ 100,980,000 (£ 84,672,574, $102,909,901)",0%,2019-2020
19,West Ham,eng Premier League,74,"€ 1,708,716 (£ 1,432,808, $1,741,178)","€ 88,853,227 (£ 74,506,000, $90,541,270)",32%,2019-2020
20,Crystal Palace,eng Premier League,69,"€ 1,703,762 (£ 1,428,654, $1,736,131)","€ 88,595,632 (£ 74,290,000, $90,278,786)",39%,2019-2020
21,Leicester City,eng Premier League,80,"€ 1,686,332 (£ 1,414,038, $1,718,370)","€ 87,689,280 (£ 73,530,000, $89,355,214)",36%,2019-2020
22,Newcastle Utd,eng Premier League,88,"€ 1,543,683 (£ 1,294,423, $1,573,010)","€ 80,271,532 (£ 67,310,000, $81,796,543)",35%,2019-2020
23,Monaco,fr Ligue 1,93,"€ 1,524,615 (£ 1,278,403, $1,553,753)","€ 79,280,000 (£ 66,476,944, $80,795,174)",88%,2019-2020
24,Valencia,es La Liga,74,"€ 1,448,846 (£ 1,214,870, $1,476,536)","€ 75,340,000 (£ 63,173,220, $76,779,876)",73%,2019-2020
25,RB Leipzig,de Bundesliga,102,"€ 1,360,385 (£ 1,140,694, $1,386,384)","€ 70,740,000 (£ 59,316,081, $72,091,964)",50%,2019-2020
26,Watford,eng Premier League,91,"€ 1,322,600 (£ 1,109,038, $1,347,727)","€ 68,775,206 (£ 57,670,000, $70,081,807)",35%,2019-2020
27,Wolfsburg,de Bundesliga,82,"€ 1,285,962 (£ 1,078,290, $1,310,538)","€ 66,870,000 (£ 56,071,056, $68,147,999)",100%,2019-2020
28,Sevilla,es La Liga,74,"€ 1,259,808 (£ 1,056,359, $1,283,885)","€ 65,510,000 (£ 54,930,679, $66,762,006)",76%,2019-2020
29,Wolves,eng Premier League,77,"€ 1,241,414 (£ 1,040,962, $1,264,999)","€ 64,553,524 (£ 54,130,000, $65,779,923)",40%,2019-2020
30,Lazio,it Serie A,95,"€ 1,232,885 (£ 1,033,784, $1,256,447)","€ 64,110,000 (£ 53,756,771, $65,335,254)",0%,2019-2020
31,Southampton,eng Premier League,64,"€ 1,227,883 (£ 1,029,615, $1,251,210)","€ 63,849,914 (£ 53,540,000, $65,062,944)",34%,2019-2020
32,Lyon,fr Ligue 1,84,"€ 1,210,385 (£ 1,014,918, $1,233,517)","€ 62,940,000 (£ 52,775,716, $64,142,890)",93%,2019-2020
33,Aston Villa,eng Premier League,82,"€ 1,173,071 (£ 983,654, $1,195,357)","€ 60,999,684 (£ 51,150,000, $62,158,568)",34%,2019-2020
34,Villarreal,es La Liga,78,"€ 1,142,115 (£ 957,673, $1,163,943)","€ 59,390,000 (£ 49,799,012, $60,525,042)",86%,2019-2020
35,Brighton,eng Premier League,84,"€ 1,117,341 (£ 936,923, $1,138,569)","€ 58,101,751 (£ 48,720,000, $59,205,581)",36%,2019-2020
36,Gladbach,de Bundesliga,84,"€ 1,039,423 (£ 871,565, $1,059,288)","€ 54,050,000 (£ 45,321,378, $55,082,988)",75%,2019-2020
37,Burnley,eng Premier League,73,"€ 1,019,872 (£ 855,192, $1,039,248)","€ 53,033,354 (£ 44,470,000, $54,040,892)",33%,2019-2020
38,Bournemouth,eng Premier League,84,"€ 971,252 (£ 814,423, $989,704)","€ 50,505,114 (£ 42,350,000, $51,464,621)",32%,2019-2020
39,Hertha BSC,de Bundesliga,97,"€ 970,577 (£ 813,837, $989,126)","€ 50,470,000 (£ 42,319,518, $51,434,570)",99%,2019-2020
40,Marseille,fr Ligue 1,78,"€ 949,038 (£ 795,777, $967,176)","€ 49,350,000 (£ 41,380,386, $50,293,161)",90%,2019-2020
41,Schalke 04,de Bundesliga,80,"€ 935,192 (£ 784,167, $953,065)","€ 48,630,000 (£ 40,776,662, $49,559,403)",100%,2019-2020
42,Athletic Club,es La Liga,76,"€ 929,423 (£ 779,329, $947,186)","€ 48,330,000 (£ 40,525,107, $49,253,671)",100%,2019-2020
43,Leverkusen,de Bundesliga,74,"€ 919,615 (£ 771,105, $937,191)","€ 47,820,000 (£ 40,097,475, $48,733,923)",46%,2019-2020
44,Genoa,it Serie A,89,"€ 919,423 (£ 770,944, $936,995)","€ 47,810,000 (£ 40,089,088, $48,723,731)",0%,2019-2020
45,Fiorentina,it Serie A,87,"€ 918,654 (£ 770,299, $936,211)","€ 47,770,000 (£ 40,055,547, $48,682,965)",0%,2019-2020
46,Hoffenheim,de Bundesliga,86,"€ 916,346 (£ 768,364, $933,859)","€ 47,650,000 (£ 39,954,925, $48,560,670)",99%,2019-2020
47,Torino,it Serie A,78,"€ 890,000 (£ 746,272, $907,009)","€ 46,280,000 (£ 38,806,165, $47,164,491)",0%,2019-2020
48,Eint Frankfurt,de Bundesliga,94,"€ 828,269 (£ 694,511, $844,099)","€ 43,070,000 (£ 36,114,558, $43,893,140)",100%,2019-2020
49,Cagliari,it Serie A,81,"€ 824,038 (£ 690,963, $839,787)","€ 42,850,000 (£ 35,930,081, $43,668,940)",0%,2019-2020
50,Werder Bremen,de Bundesliga,88,"€ 818,077 (£ 685,964, $833,712)","€ 42,540,000 (£ 35,670,148, $43,353,010)",100%,2019-2020
51,Real Sociedad,es La Liga,73,"€ 751,731 (£ 630,333, $766,098)","€ 39,090,000 (£ 32,777,291, $39,837,075)",100%,2019-2020
52,Köln,de Bundesliga,87,"€ 748,654 (£ 627,753, $762,962)","€ 38,930,000 (£ 32,643,134, $39,674,021)",100%,2019-2020
53,Celta Vigo,es La Liga,75,"€ 721,731 (£ 605,177, $735,524)","€ 37,530,000 (£ 31,469,218, $38,247,261)",96%,2019-2020
54,Sampdoria,it Serie A,85,"€ 714,808 (£ 599,372, $728,469)","€ 37,170,000 (£ 31,167,358, $37,880,380)",0%,2019-2020
55,Bologna,it Serie A,73,"€ 709,231 (£ 594,696, $722,785)","€ 36,880,000 (£ 30,924,189, $37,584,840)",0%,2019-2020
56,Atalanta,it Serie A,70,"€ 708,077 (£ 593,728, $721,610)","€ 36,820,000 (£ 30,873,879, $37,523,695)",0%,2019-2020
57,Betis,es La Liga,73,"€ 696,538 (£ 584,053, $709,850)","€ 36,220,000 (£ 30,370,776, $36,912,224)",100%,2019-2020
58,Rennes,fr Ligue 1,84,"€ 679,423 (£ 569,702, $692,408)","€ 35,330,000 (£ 29,624,500, $36,005,216)",98%,2019-2020
59,Leganés,es La Liga,77,"€ 679,231 (£ 569,541, $692,212)","€ 35,320,000 (£ 29,616,119, $35,995,024)",99%,2019-2020
60,Espanyol,es La Liga,81,"€ 644,615 (£ 540,515, $656,935)","€ 33,520,000 (£ 28,106,802, $34,160,623)",100%,2019-2020
61,Lecce,it Serie A,96,"€ 621,538 (£ 521,165, $633,417)","€ 32,320,000 (£ 27,100,595, $32,937,690)",0%,2019-2020
62,Lille,fr Ligue 1,70,"€ 601,923 (£ 504,718, $613,427)","€ 31,300,000 (£ 26,245,312, $31,898,198)",100%,2019-2020
63,Norwich City,eng Premier League,71,"€ 600,640 (£ 503,654, $612,051)","€ 31,233,268 (£ 26,190,000, $31,826,646)",41%,2019-2020
64,SPAL,it Serie A,92,"€ 595,000 (£ 498,912, $606,372)","€ 30,940,000 (£ 25,943,445, $31,531,319)",0%,2019-2020
65,Sassuolo,it Serie A,84,"€ 593,077 (£ 497,300, $604,412)","€ 30,840,000 (£ 25,859,595, $31,429,407)",0%,2019-2020
66,Bordeaux,fr Ligue 1,75,"€ 562,885 (£ 471,983, $573,642)","€ 29,270,000 (£ 24,543,139, $29,829,400)",100%,2019-2020
67,Sheffield Utd,eng Premier League,83,"€ 554,543 (£ 465,000, $565,078)","€ 28,836,215 (£ 24,180,000, $29,384,049)",54%,2019-2020
68,Parma,it Serie A,80,"€ 552,692 (£ 463,437, $563,255)","€ 28,740,000 (£ 24,098,729, $29,289,270)",0%,2019-2020
69,Augsburg,de Bundesliga,102,"€ 536,154 (£ 449,570, $546,401)","€ 27,880,000 (£ 23,377,615, $28,412,836)",97%,2019-2020
70,Hellas Verona,it Serie A,100,"€ 525,962 (£ 441,023, $536,014)","€ 27,350,000 (£ 22,933,204, $27,872,708)",0%,2019-2020
71,Getafe,es La Liga,83,"€ 508,846 (£ 426,672, $518,571)","€ 26,460,000 (£ 22,186,931, $26,965,696)",100%,2019-2020
72,Saint-Étienne,fr Ligue 1,90,"€ 508,846 (£ 426,672, $518,571)","€ 26,460,000 (£ 22,186,931, $26,965,697)",97%,2019-2020
73,Mainz 05,de Bundesliga,98,"€ 504,808 (£ 423,286, $514,455)","€ 26,250,000 (£ 22,010,847, $26,751,683)",97%,2019-2020
74,Nice,fr Ligue 1,81,"€ 473,654 (£ 397,163, $482,706)","€ 24,630,000 (£ 20,652,463, $25,100,724)",100%,2019-2020
75,Alavés,es La Liga,82,"€ 468,558 (£ 392,890, $477,513)","€ 24,365,000 (£ 20,430,254, $24,830,655)",100%,2019-2020
76,Düsseldorf,de Bundesliga,102,"€ 422,115 (£ 353,947, $430,183)","€ 21,950,000 (£ 18,405,257, $22,369,505)",100%,2019-2020
77,Granada,es La Liga,72,"€ 421,731 (£ 353,625, $429,791)","€ 21,930,000 (£ 18,388,487, $22,349,118)",100%,2019-2020
78,Union Berlin,de Bundesliga,96,"€ 411,538 (£ 345,079, $419,404)","€ 21,400,000 (£ 17,944,082, $21,808,992)",100%,2019-2020
79,Udinese,it Serie A,75,"€ 395,962 (£ 332,017, $403,529)","€ 20,590,000 (£ 17,264,887, $20,983,512)",4%,2019-2020
80,Toulouse,fr Ligue 1,93,"€ 373,077 (£ 312,828, $380,207)","€ 19,400,000 (£ 16,267,060, $19,770,767)",100%,2019-2020
81,Nantes,fr Ligue 1,89,"€ 364,615 (£ 305,733, $371,584)","€ 18,960,000 (£ 15,898,119, $19,322,358)",66%,2019-2020
82,Levante,es La Liga,71,"€ 360,577 (£ 302,347, $367,468)","€ 18,750,000 (£ 15,722,030, $19,108,346)",100%,2019-2020
83,Eibar,es La Liga,76,"€ 355,385 (£ 297,993, $362,177)","€ 18,480,000 (£ 15,495,639, $18,833,186)",100%,2019-2020
84,Montpellier,fr Ligue 1,83,"€ 330,962 (£ 277,514, $337,287)","€ 17,210,000 (£ 14,430,727, $17,538,909)",96%,2019-2020
85,Freiburg,de Bundesliga,84,"€ 319,231 (£ 267,678, $325,332)","€ 16,600,000 (£ 13,919,240, $16,917,253)",100%,2019-2020
86,Brescia,it Serie A,81,"€ 311,346 (£ 261,066, $317,296)","€ 16,190,000 (£ 13,575,453, $16,499,416)",0%,2019-2020
87,Valladolid,es La Liga,84,"€ 290,192 (£ 243,329, $295,738)","€ 15,090,000 (£ 12,653,093, $15,378,396)",100%,2019-2020
88,Osasuna,es La Liga,79,"€ 272,692 (£ 228,655, $277,904)","€ 14,180,000 (£ 11,890,050, $14,451,004)",100%,2019-2020
89,Amiens,fr Ligue 1,102,"€ 266,538 (£ 223,495, $271,632)","€ 13,860,000 (£ 11,621,725, $14,124,885)",100%,2019-2020
90,Angers,fr Ligue 1,78,"€ 251,346 (£ 210,756, $256,150)","€ 13,070,000 (£ 10,959,305, $13,319,789)",100%,2019-2020
91,Strasbourg,fr Ligue 1,77,"€ 250,577 (£ 210,111, $255,366)","€ 13,030,000 (£ 10,925,763, $13,279,026)",100%,2019-2020
92,Mallorca,es La Liga,82,"€ 240,769 (£ 201,887, $245,371)","€ 12,520,000 (£ 10,498,125, $12,759,279)",100%,2019-2020
93,Reims,fr Ligue 1,84,"€ 235,385 (£ 197,372, $239,883)","€ 12,240,000 (£ 10,263,342, $12,473,921)",96%,2019-2020
94,Metz,fr Ligue 1,81,"€ 211,923 (£ 177,699, $215,973)","€ 11,020,000 (£ 9,240,362, $11,230,609)",100%,2019-2020
95,Dijon,fr Ligue 1,75,"€ 200,769 (£ 168,347, $204,606)","€ 10,440,000 (£ 8,754,028, $10,639,525)",100%,2019-2020
96,Nîmes,fr Ligue 1,74,"€ 154,038 (£ 129,163, $156,982)","€ 8,010,000 (£ 6,716,451, $8,163,087)",100%,2019-2020
97,Brest,fr Ligue 1,81,"€ 148,846 (£ 124,809, $151,691)","€ 7,740,000 (£ 6,490,055, $7,887,921)",100%,2019-2020
98,Paderborn 07,de Bundesliga,90,"€ 134,808 (£ 113,037, $137,384)","€ 7,010,000 (£ 5,877,944, $7,143,974)",100%,2019-2020
1,Barcelona,es La Liga,83,"€ 6,766,923 (£ 5,674,122, $6,896,250)","€ 351,880,000 (£ 295,054,323, $358,605,024)",22%,2020-2021
2,Real Madrid,es La Liga,70,"€ 6,044,038 (£ 5,067,977, $6,159,550)","€ 314,290,000 (£ 263,534,797, $320,296,616)",0%,2020-2021
3,Paris S-G,fr Ligue 1,96,"€ 4,664,231 (£ 3,910,997, $4,753,372)","€ 242,540,000 (£ 203,371,818, $247,175,346)",44%,2020-2021
4,Manchester Utd,eng Premier League,86,"€ 4,435,653 (£ 3,719,423, $4,519,922)","€ 230,653,939 (£ 193,410,000, $235,035,931)",3%,2020-2021
5,Bayern Munich,de Bundesliga,83,"€ 4,318,654 (£ 3,621,227, $4,401,191)","€ 224,570,000 (£ 188,303,826, $228,861,912)",12%,2020-2021
6,Juventus,it Serie A,72,"€ 4,156,346 (£ 3,485,131, $4,235,781)","€ 216,130,000 (£ 181,226,818, $220,260,613)",6%,2020-2021
7,Chelsea,eng Premier League,82,"€ 3,389,911 (£ 2,842,538, $3,454,313)","€ 176,275,358 (£ 147,811,988, $179,624,258)",2%,2020-2021
8,Arsenal,eng Premier League,87,"€ 3,381,609 (£ 2,835,577, $3,445,853)","€ 175,843,663 (£ 147,450,000, $179,184,367)",1%,2020-2021
9,Atlético Madrid,es La Liga,68,"€ 3,276,731 (£ 2,747,566, $3,339,355)","€ 170,390,000 (£ 142,873,440, $173,646,443)",37%,2020-2021
10,Manchester City,eng Premier League,76,"€ 3,157,499 (£ 2,647,654, $3,217,485)","€ 164,189,924 (£ 137,678,000, $167,309,223)",1%,2020-2021
11,Tottenham,eng Premier League,82,"€ 3,084,064 (£ 2,586,077, $3,142,655)","€ 160,371,329 (£ 134,476,000, $163,418,084)",4%,2020-2021
12,Liverpool,eng Premier League,84,"€ 3,002,511 (£ 2,517,692, $3,059,553)","€ 156,130,569 (£ 130,920,000, $159,096,757)",5%,2020-2021
13,Inter,it Serie A,79,"€ 2,670,769 (£ 2,239,462, $2,721,812)","€ 138,880,000 (£ 116,452,045, $141,534,233)",6%,2020-2021
14,Roma,it Serie A,85,"€ 2,176,346 (£ 1,824,885, $2,217,940)","€ 113,170,000 (£ 94,893,995, $115,332,872)",2%,2020-2021
15,Everton,eng Premier League,87,"€ 2,111,596 (£ 1,770,635, $2,151,713)","€ 109,803,009 (£ 92,073,000, $111,889,062)",1%,2020-2021
16,Napoli,it Serie A,74,"€ 2,065,769 (£ 1,732,165, $2,105,250)","€ 107,420,000 (£ 90,072,568, $109,472,983)",0%,2020-2021
17,Crystal Palace,eng Premier League,87,"€ 2,035,043 (£ 1,706,442, $2,073,705)","€ 105,822,228 (£ 88,735,000, $107,832,658)",2%,2020-2021
18,Villarreal,es La Liga,84,"€ 1,857,115 (£ 1,557,207, $1,892,608)","€ 96,570,000 (£ 80,974,753, $98,415,618)",60%,2020-2021
19,Sevilla,es La Liga,81,"€ 1,797,885 (£ 1,507,541, $1,832,245)","€ 93,490,000 (£ 78,392,148, $95,276,751)",68%,2020-2021
20,Leicester City,eng Premier League,80,"€ 1,777,976 (£ 1,490,885, $1,811,755)","€ 92,454,770 (£ 77,526,000, $94,211,238)",0%,2020-2021
21,Dortmund,de Bundesliga,85,"€ 1,737,115 (£ 1,456,586, $1,770,315)","€ 90,330,000 (£ 75,742,458, $92,056,361)",54%,2020-2021
22,Lazio,it Serie A,95,"€ 1,676,346 (£ 1,405,630, $1,708,384)","€ 87,170,000 (£ 73,092,777, $88,835,968)",7%,2020-2021
23,Milan,it Serie A,82,"€ 1,621,923 (£ 1,359,996, $1,652,921)","€ 84,340,000 (£ 70,719,796, $85,951,884)",0%,2020-2021
24,West Ham,eng Premier League,72,"€ 1,524,556 (£ 1,278,385, $1,553,520)","€ 79,276,933 (£ 66,476,000, $80,783,044)",3%,2020-2021
25,Valencia,es La Liga,78,"€ 1,449,808 (£ 1,215,676, $1,477,516)","€ 75,390,000 (£ 63,215,147, $76,830,834)",67%,2020-2021
26,Aston Villa,eng Premier League,79,"€ 1,424,496 (£ 1,194,481, $1,451,559)","€ 74,073,800 (£ 62,113,024, $75,481,066)",0%,2020-2021
27,Athletic Club,es La Liga,80,"€ 1,394,615 (£ 1,169,397, $1,421,269)","€ 72,520,000 (£ 60,808,628, $73,905,978)",96%,2020-2021
28,Newcastle Utd,eng Premier League,94,"€ 1,319,756 (£ 1,106,654, $1,344,829)","€ 68,627,328 (£ 57,546,000, $69,931,123)",3%,2020-2021
29,Southampton,eng Premier League,76,"€ 1,311,454 (£ 1,099,692, $1,336,369)","€ 68,195,619 (£ 57,184,000, $69,491,210)",3%,2020-2021
30,Schalke 04,de Bundesliga,93,"€ 1,202,308 (£ 1,008,145, $1,225,286)","€ 62,520,000 (£ 52,423,545, $63,714,862)",98%,2020-2021
31,Fulham,eng Premier League,89,"€ 1,196,437 (£ 1,003,247, $1,219,167)","€ 62,214,699 (£ 52,168,824, $63,396,662)",8%,2020-2021
32,Brighton,eng Premier League,87,"€ 1,182,907 (£ 991,902, $1,205,380)","€ 61,511,176 (£ 51,578,900, $62,679,778)",2%,2020-2021
33,Wolves,eng Premier League,70,"€ 1,181,414 (£ 990,650, $1,203,859)","€ 61,433,538 (£ 51,513,800, $62,600,661)",9%,2020-2021
34,Monaco,fr Ligue 1,89,"€ 1,152,115 (£ 966,058, $1,174,134)","€ 59,910,000 (£ 50,235,035, $61,054,978)",85%,2020-2021
35,Cagliari,it Serie A,88,"€ 1,149,038 (£ 963,478, $1,170,999)","€ 59,750,000 (£ 50,100,874, $60,891,926)",8%,2020-2021
36,Wolfsburg,de Bundesliga,82,"€ 1,112,885 (£ 933,163, $1,134,154)","€ 57,870,000 (£ 48,524,481, $58,975,995)",100%,2020-2021
37,Leverkusen,de Bundesliga,85,"€ 1,080,769 (£ 906,234, $1,101,425)","€ 56,200,000 (£ 47,124,173, $57,274,076)",54%,2020-2021
38,Lyon,fr Ligue 1,82,"€ 1,065,962 (£ 893,818, $1,086,334)","€ 55,430,000 (£ 46,478,516, $56,489,360)",79%,2020-2021
39,RB Leipzig,de Bundesliga,81,"€ 1,035,962 (£ 868,662, $1,055,761)","€ 53,870,000 (£ 45,170,443, $54,899,548)",52%,2020-2021
40,Marseille,fr Ligue 1,98,"€ 1,021,731 (£ 856,730, $1,041,258)","€ 53,130,000 (£ 44,549,946, $54,145,401)",79%,2020-2021
41,Fiorentina,it Serie A,81,"€ 997,885 (£ 836,735, $1,016,956)","€ 51,890,000 (£ 43,510,199, $52,881,707)",6%,2020-2021
42,Real Sociedad,es La Liga,81,"€ 981,538 (£ 823,028, $1,000,297)","€ 51,040,000 (£ 42,797,468, $52,015,463)",96%,2020-2021
43,Torino,it Serie A,84,"€ 960,962 (£ 805,774, $979,327)","€ 49,970,000 (£ 41,900,260, $50,925,013)",5%,2020-2021
44,Gladbach,de Bundesliga,95,"€ 951,538 (£ 797,873, $969,724)","€ 49,480,000 (£ 41,489,393, $50,425,646)",78%,2020-2021
45,Eint Frankfurt,de Bundesliga,91,"€ 916,923 (£ 768,848, $934,447)","€ 47,680,000 (£ 39,980,079, $48,591,246)",99%,2020-2021
46,West Brom,eng Premier League,87,"€ 850,578 (£ 713,235, $866,738)","€ 44,230,079 (£ 37,088,200, $45,070,367)",21%,2020-2021
